property,property,property,property,actual,predicted
172,108,48,12,Iris-setosa,Iris-versicolor
179,92,115,41,Iris-versicolor,Iris-versicolor
169,118,48,6,Iris-setosa,Iris-versicolor
144,73,41,9,Iris-setosa,Iris-versicolor
211,92,147,41,Iris-versicolor,Iris-versicolor
188,102,153,57,Iris-versicolor,Iris-versicolor
163,105,54,16,Iris-setosa,Iris-versicolor
150,102,41,6,Iris-setosa,Iris-versicolor
220,99,156,48,Iris-versicolor,Iris-versicolor
182,89,131,41,Iris-versicolor,Iris-versicolor
153,96,44,3,Iris-setosa,Iris-versicolor
176,80,128,41,Iris-versicolor,Iris-versicolor
140,96,41,6,Iris-setosa,Iris-versicolor
182,121,54,9,Iris-setosa,Iris-versicolor
179,80,124,35,Iris-versicolor,Iris-versicolor
166,86,124,44,Iris-versicolor,Iris-versicolor
182,89,144,41,Iris-versicolor,Iris-versicolor
185,83,128,38,Iris-versicolor,Iris-versicolor
156,96,44,6,Iris-setosa,Iris-versicolor
147,108,44,9,Iris-setosa,Iris-versicolor
192,70,128,32,Iris-versicolor,Iris-versicolor
176,134,44,6,Iris-setosa,Iris-versicolor
163,121,51,6,Iris-setosa,Iris-versicolor
195,89,150,38,Iris-versicolor,Iris-versicolor
166,112,48,6,Iris-setosa,Iris-versicolor
192,108,144,51,Iris-versicolor,Iris-versicolor
140,92,44,6,Iris-setosa,Iris-versicolor
147,115,32,6,Iris-setosa,Iris-versicolor
163,112,44,9,Iris-setosa,Iris-versicolor
176,76,121,35,Iris-versicolor,Iris-versicolor
176,83,140,38,Iris-versicolor,Iris-versicolor
182,96,134,38,Iris-versicolor,Iris-versicolor
163,80,96,35,Iris-versicolor,Iris-versicolor
172,118,48,6,Iris-setosa,Iris-versicolor
214,99,140,44,Iris-versicolor,Iris-versicolor
179,86,134,41,Iris-versicolor,Iris-versicolor
163,108,48,6,Iris-setosa,Iris-versicolor
147,99,48,6,Iris-setosa,Iris-versicolor
163,121,60,12,Iris-setosa,Iris-versicolor
182,92,134,41,Iris-versicolor,Iris-versicolor
153,108,51,6,Iris-setosa,Iris-versicolor
160,64,112,32,Iris-versicolor,Iris-versicolor
147,102,44,6,Iris-setosa,Iris-versicolor
160,112,41,9,Iris-setosa,Iris-versicolor
185,86,124,38,Iris-versicolor,Iris-versicolor
160,102,38,6,Iris-setosa,Iris-versicolor
172,96,144,48,Iris-versicolor,Iris-versicolor
179,96,144,48,Iris-versicolor,Iris-versicolor
166,108,44,6,Iris-setosa,Iris-versicolor
172,124,54,12,Iris-setosa,Iris-versicolor
195,96,147,44,Iris-versicolor,Iris-versicolor
201,80,156,48,Iris-versicolor,Iris-versicolor
176,112,41,6,Iris-setosa,Iris-versicolor
188,96,134,48,Iris-versicolor,Iris-versicolor
185,128,38,6,Iris-setosa,Iris-versicolor
192,92,144,48,Iris-versicolor,Iris-versicolor
150,102,51,6,Iris-setosa,Iris-versicolor
201,105,150,51,Iris-versicolor,Iris-versicolor
172,124,41,12,Iris-setosa,Iris-versicolor
176,73,128,41,Iris-versicolor,Iris-versicolor
163,121,48,9,Iris-setosa,Iris-versicolor
160,112,51,19,Iris-setosa,Iris-versicolor
198,92,137,41,Iris-versicolor,Iris-versicolor
160,108,51,12,Iris-setosa,Iris-versicolor
176,76,118,32,Iris-versicolor,Iris-versicolor
137,96,35,3,Iris-setosa,Iris-versicolor
160,105,44,6,Iris-setosa,Iris-versicolor
204,102,144,48,Iris-versicolor,Iris-versicolor
182,140,48,12,Iris-setosa,Iris-versicolor
166,131,48,3,Iris-setosa,Iris-versicolor
160,108,48,6,Iris-setosa,Iris-versicolor
195,92,150,44,Iris-versicolor,Iris-versicolor
163,118,48,12,Iris-setosa,Iris-versicolor
198,70,144,48,Iris-versicolor,Iris-versicolor
204,92,137,41,Iris-versicolor,Iris-versicolor
182,83,112,32,Iris-versicolor,Iris-versicolor
217,89,153,44,Iris-versicolor,Iris-versicolor
160,73,105,32,Iris-versicolor,Iris-versicolor
211,96,140,44,Iris-versicolor,Iris-versicolor
185,86,131,32,Iris-versicolor,Iris-versicolor
